Date,Open Price,Close Price,Adj Close Price,Volume
20080629,748.85,748.85,748.85,189389047
20080630,771.32,767.96,767.96,19643005
20080701,752.60,749.88,749.88,22646072
20080702,757.76,766.02,766.02,3591428
20080705,783.71,784.49,784.49,7310389
20080706,807.98,807.60,807.60,4607603
20080707,831.74,826.06,826.06,17571371
20080708,850.72,844.65,844.65,7920559
20080709,832.90,829.29,829.29,1030343
20080712,804.50,805.01,805.01,1629454
20080713,800.50,823.09,823.09,2387382
20080714,846.85,844.65,844.65,1794383
20080715,869.96,869.96,869.96,2319151
20080720,438.98,869.96,869.96,39182025
20080727,748.85,869.96,869.96,687690
20080915,908.30,913.34,913.34,10909243
20080916,940.71,937.10,937.10,8356577
20080917,959.43,961.24,961.24,5185186
20080920,979.83,937.87,937.87,1857382
20080921,918.38,916.95,916.95,4027472
20080923,939.29,944.07,944.07,2598000
20080924,952.98,946.78,946.78,2136544
20080927,940.07,935.81,935.81,687840
20080928,912.82,912.57,912.57,3065766
20080929,921.86,914.50,914.50,863343
20080930,914.63,909.34,909.34,1196114
20081004,887.00,901.20,901.20,563693
20081005,874.22,900.94,900.94,68547222
20081006,873.96,900.56,900.56,58874381
20081007,873.57,873.57,873.57,1658788
20081008,847.49,873.57,873.57,3189
20081011,847.49,873.57,873.57,405
20081012,847.49,873.44,873.44,8701
20081013,847.36,873.31,873.31,8040
20081014,847.23,873.19,873.19,9534
20081015,847.11,873.19,873.19,1048
20081018,847.11,873.19,873.19,570
20081019,847.11,873.19,873.19,310
20081021,847.11,873.19,873.19,20
20081022,847.11,847.11,847.11,10319
20081026,821.80,821.80,821.80,3282
20081027,797.27,797.27,797.27,2492
20081028,773.38,773.38,773.38,24747
20081029,750.27,750.27,750.27,27460
20081101,727.81,750.14,750.14,8810
20081103,727.68,727.68,727.68,200
20081105,705.86,707.66,707.66,10069398
20081108,686.49,691.14,691.14,1299257
20081109,670.48,677.19,677.19,1121189
20081110,656.92,677.06,677.06,11375
20081111,813.79,677.06,677.06,82478541
20081116,656.79,677.06,677.06,777
20081117,656.79,677.06,677.06,303
20081119,656.79,677.06,677.06,100
20081122,656.79,677.06,677.06,114
20081125,656.79,656.79,656.79,50
20081129,637.17,637.17,637.17,50
20081130,618.06,618.06,618.06,460
20081201,599.60,599.60,599.60,77
20081202,581.65,599.60,599.60,1049
20081203,581.65,581.65,581.65,624339035
20081206,564.22,564.22,564.22,50
20081207,547.31,547.31,547.31,2000
20081210,530.91,530.91,530.91,10
20081213,515.03,515.03,530.78,8988
20081214,514.90,514.90,514.90,12668
20081215,499.54,499.54,499.54,2000
20081216,484.56,484.56,484.56,6449
20081220,470.10,470.10,470.10,27188
20081221,456.02,456.02,456.02,10
20081222,442.47,442.47,456.02,7200
20081223,442.47,442.47,442.47,50
20081224,429.30,429.30,429.30,5888
20081227,416.52,416.52,416.52,14160
20081228,404.12,404.12,404.12,5371
20081229,392.11,392.11,392.63,6602795
20081230,387.72,390.82,392.37,706341
20081231,391.21,387.34,389.66,833707
20090103,389.79,400.89,394.31,817996
20090104,405.80,406.06,400.38,857029
20090105,412.38,412.38,402.44,287953
20090110,414.45,414.45,404.38,263800
20090111,416.39,416.39,404.38,2694
20090112,416.39,416.39,404.38,6690
20090113,416.39,416.39,404.38,6179
20090114,416.39,416.39,416.39,3062075
20090117,428.78,428.78,428.39,1620415
20090118,441.18,441.18,429.04,77706
20090119,441.82,441.82,441.82,1665000
20090120,454.99,454.99,454.99,1664903
20090121,468.55,468.55,468.55,1664903
20090124,482.49,456.02,478.10,17844964
20090125,463.77,463.77,465.06,6332525
20090126,453.31,459.64,462.74,602196
20090127,464.67,476.55,470.48,1052549
20090128,484.56,484.56,484.56,2251062
20090131,499.02,499.02,499.02,1797325
20090201,513.87,513.87,513.87,1661746
20090202,529.10,528.07,528.20,6131798
20090203,527.68,526.39,527.94,1100858
20090310,600.50,604.25,604.25,3599332
20090311,618.45,622.32,614.83,1042917
20090314,633.17,633.17,624.00,830506
20090316,642.59,642.59,625.94,172584
20090317,644.66,644.66,637.17,999473
20090318,656.28,656.28,643.50,548101
20090325,662.73,662.73,648.14,400000
20090328,667.51,667.51,658.47,890400
20090329,678.23,678.23,667.90,789339
20090330,687.91,687.91,678.10,853072
20090331,698.37,698.37,690.36,1003683
20090404,711.02,711.02,690.75,29664
20090405,711.41,711.41,691.52,63012
20090406,712.18,712.18,712.18,1666442
20090407,733.49,733.49,733.49,1663139
20090408,755.44,755.44,755.44,1664000
20090411,778.03,778.03,778.03,2323446
20090412,801.27,754.79,786.81,26763724
20090413,763.31,763.31,786.42,26143
20090414,762.92,762.92,786.42,208
20090415,762.92,762.92,762.92,1671689
20090418,762.79,768.22,765.64,3490932
20090426,852.01,813.41,814.18,15352749
20090427,817.28,789.91,796.88,3132402
20090428,788.88,772.99,776.61,4000444
20090429,762.41,794.04,779.45,4757523
20090502,802.82,802.82,799.98,1458969
20090503,823.86,823.86,810.18,713415
20090504,834.45,834.45,834.45,1671794
20090505,859.37,859.37,858.73,14111565
20090506,876.67,884.42,879.38,5480993
20090509,905.72,905.72,905.72,1736500
20090510,932.84,925.48,930.90,8264583
20090511,916.70,903.01,907.27,3023355
20090512,891.13,880.16,881.71,7445628
20090513,877.83,881.97,889.84,2159061
20090516,881.71,863.24,863.76,3075203
20090517,847.49,853.43,846.85,2177653
20090518,854.21,845.68,849.04,2215601
